1154 222
35 152 217
38 146 214
118 152 216
58 186 217
41 184 215
54 149 215
134 198 217
17 170 215
39 152 217
4 151 218
139 152 216
83 151 215
70 157 215
134 152 216
75 156 218
111 152 218
111 199 215
111 196 216
100 212 218
3 151 218
120 152 214
93 184 218
73 151 215
18 193 215
83 149 215
24 184 215
35 160 215
111 184 216
98 178 217
49 151 215
38 202 215
111 187 217
87 146 214
41 178 218
62 168 218
114 146 214
57 184 215
52 168 218
145 163 218
59 152 217
59 192 218
7 149 218
106 184 214
61 160 215
102 168 215
42 186 217
138 150 214
55 199 215
85 207 215
61 194 215
38 156 215
103 197 218
3 152 217
8 152 214
62 156 215
15 149 218
94 151 215
41 178 214
130 189 217
84 158 218
52 152 214
77 157 215
69 149 218
93 210 214
22 200 218
17 151 218
88 199 216
14 189 217
41 184 214
42 146 214
85 159 215
33 151 218
0 152 214
136 152 214
75 202 215
102 192 215
50 152 214
93 156 218
52 154 218
10 184 214
66 149 218
78 178 218
41 184 218
134 198 214
42 178 214
27 158 218
49 146 214
114 157 215
111 153 217
18 193 218
86 184 216
37 202 218
118 184 214
131 184 214
5 149 218
10 160 215
87 149 215
138 150 215
3 158 218
31 151 215
117 152 217
10 149 215
111 199 218
49 167 218
22 200 217
94 152 214
62 200 216
34 151 215
111 198 218
90 151 215
121 149 218
24 184 216
91 167 214
33 167 214
114 160 215
91 208 218
2 149 215
22 152 214
111 146 214
13 152 214
61 194 218
57 159 215
5 176 215
71 152 217
111 207 216
114 209 218
102 212 215
4 152 214
15 156 218
107 160 215
31 147 218
134 152 217
23 151 218
32 198 216
111 178 217
93 178 214
62 181 218
2 154 215
77 152 216
100 192 218
111 187 218
22 193 215
85 197 215
20 146 214
121 152 214
86 178 218
4 178 218
139 146 214
50 204 218
125 184 218
38 149 218
0 152 217
68 202 215
86 178 214
106 167 214
86 154 215
7 151 215
12 156 218
98 176 215
9 149 218
111 152 214
62 168 215
62 206 218
106 178 217
67 211 217
49 198 217
102 209 215
74 152 217
25 191 218
51 152 214
91 177 215
111 198 214
86 184 218
62 151 215
86 200 217
18 195 216
18 178 218
40 146 214
101 207 216
23 159 215
59 152 214
25 152 217
114 176 215
18 174 215
112 152 216
83 152 216
35 170 215
100 168 215
41 152 217
4 156 215
130 186 217
61 198 217
75 152 217
139 184 216
33 152 216
124 194 218
102 210 214
57 158 218
1 152 216
65 147 215
77 152 214
57 207 218
114 183 218
91 199 218
102 210 215
93 207 216
50 152 217
3 174 215
55 194 218
41 151 215
0 149 218
80 160 215
101 152 216
122 146 214
3 152 214
12 152 217
52 168 215
42 192 215
63 157 215
25 152 214
122 152 217
90 207 215
77 151 218
91 157 215
93 179 214
114 184 216
106 184 218
91 152 216
11 146 214
77 184 214
4 157 215
33 151 215
65 210 218
49 152 216
1 149 215
16 157 215
33 149 215
14 159 215
85 156 215
106 195 218
86 158 218
93 208 218
121 156 215
91 199 215
100 175 215
106 167 217
24 201 215
93 178 218
117 152 214
2 158 218
14 152 214
111 145 217
33 152 217
91 156 218
52 206 215
111 200 218
114 213 218
2 164 218
37 202 215
14 160 215
93 156 215
46 157 215
11 159 215
85 176 215
14 157 215
94 202 215
0 152 216
24 151 218
115 194 218
91 184 215
33 164 218
93 146 214
106 212 215
36 157 215
93 214 215
114 159 215
63 152 214
57 184 218
78 178 217
34 152 216
68 175 215
90 159 215
41 152 216
118 156 218
139 184 218
90 207 216
51 202 215
14 152 217
62 164 216
49 194 218
41 152 214
111 153 216
100 206 215
134 198 216
72 152 216
40 152 217
77 146 214
100 186 217
86 184 214
12 156 215
126 149 215
114 158 218
101 209 218
38 198 217
33 167 218
13 186 217
93 152 217
86 178 217
10 151 218
41 173 218
51 199 215
8 146 214
19 194 218
47 174 215
78 146 214
131 184 215
31 156 215
118 151 215
23 149 218
7 157 215
50 166 218
42 151 215
95 200 216
53 152 217
114 151 218
83 152 214
77 184 215
34 149 215
4 178 217
71 152 214
91 209 218
17 189 217
102 147 215
135 166 216
49 157 215
24 152 216
121 170 215
137 200 218
14 152 216
91 183 218
27 152 214
114 198 217
138 150 218
133 194 218
77 159 215
21 199 218
26 152 217
97 149 218
42 178 218
10 149 218
106 192 215
78 184 214
114 208 215
15 146 214
121 156 218
114 184 215
93 194 218
7 146 214
4 178 214
93 184 216
68 192 215
2 167 214
91 146 214
93 159 215
17 159 215
83 202 218
18 195 218
102 198 214
100 173 215
125 184 215
60 154 218
98 178 214
100 152 216
21 199 216
93 154 215
2 152 214
115 194 215
93 168 218
120 149 218
106 192 218
102 175 215
77 178 218
1 152 214
93 203 214
33 198 218
38 173 218
48 159 215
49 170 215
27 149 215
11 160 215
120 146 214
134 178 217
15 152 217
1 149 218
77 202 218
85 199 216
4 151 215
68 152 217
123 194 218
68 195 216
13 157 215
64 152 217
2 146 214
68 151 215
59 207 215
101 207 218
91 167 217
49 197 215
32 201 215
97 207 216
59 149 218
135 150 214
130 157 215
111 149 215
85 178 214
134 180 214
19 195 218
2 164 216
93 188 214
47 193 218
138 184 215
35 152 214
144 151 215
100 170 215
59 207 218
138 184 218
19 173 215
4 158 218
90 149 218
37 174 215
106 152 214
91 186 217
95 152 214
8 152 217
31 152 216
45 154 218
111 184 214
16 152 216
118 152 217
91 167 218
20 199 215
30 151 215
88 199 218
68 158 218
114 149 214
51 175 215
20 164 218
22 160 215
68 164 216
22 152 216
127 157 215
102 174 215
92 149 215
42 157 215
57 151 218
1 157 215
111 178 214
20 170 215
93 189 217
22 151 215
65 208 218
71 152 216
75 164 216
19 193 215
4 175 215
4 166 218
106 167 218
24 151 215
40 152 216
42 152 217
93 195 216
18 184 216
96 184 214
97 207 218
96 158 218
76 151 218
30 152 214
77 152 217
91 209 215
53 152 216
69 157 215
41 184 216
10 152 217
138 150 216
62 152 214
93 198 214
47 170 215
121 201 215
3 173 215
114 199 215
42 152 214
12 149 218
19 194 215
62 152 217
65 210 214
111 207 218
93 198 217
62 147 215
83 149 218
91 152 217
49 151 218
114 186 217
68 202 218
65 209 215
114 207 215
12 149 215
93 162 218
4 170 215
5 146 214
32 152 217
27 146 214
79 200 218
127 160 215
25 152 216
93 192 218
64 157 215
111 209 215
133 198 217
111 166 218
2 152 216
134 146 214
43 157 215
89 146 214
99 146 214
108 160 215
113 146 214
141 186 217
